State_Code,State_Abv,Damage_Code,Damage_Descp,Amount
51,VA,81,Plant Disease,197098
51,VA,82,Mycotoxin (Aflatoxin),26409
51,VA,93,Wildlife,572035
51,VA,99,Other (Snow-Lightning-Etc.),71998
50,VT,1,Decline in Price,6733
50,VT,11,Drought,68567
50,VT,12,Heat,101828
50,VT,31,Excess Moisture/Precip/Rain,3079753
50,VT,43,Cold Winter,8361
50,VT,44,Cold Wet Weather,88214
50,VT,93,Wildlife,2358
53,WA,1,Decline in Price,16119292
53,WA,11,Drought,90434895
53,WA,12,Heat,40171344
53,WA,13,Failure Irrig Supply,1116048
53,WA,21,Hail,8991231
53,WA,22,Excess Sun,22
53,WA,31,Excess Moisture/Precip/Rain,2332834
53,WA,41,Frost,6705821
53,WA,42,Freeze,6440536
53,WA,43,Cold Winter,6655814
53,WA,44,Cold Wet Weather,1973188
53,WA,61,Wind/Excess Wind,1106309
53,WA,62,Hot Wind,200343
53,WA,71,Insects,23655
53,WA,81,Plant Disease,97860
53,WA,91,Fire,250100
53,WA,93,Wildlife,1542
53,WA,99,Other (Snow-Lightning-Etc.),153832
55,WI,1,Decline in Price,3146360
55,WI,11,Drought,10103830
55,WI,12,Heat,1288013
55,WI,13,Failure Irrig Supply,646
55,WI,15,Inability to Prepare Land for Irr,8924
55,WI,21,Hail,1899544
55,WI,31,Excess Moisture/Precip/Rain,18219010
55,WI,41,Frost,857507
55,WI,42,Freeze,243905
55,WI,43,Cold Winter,6310166
55,WI,44,Cold Wet Weather,5475632
55,WI,51,Flood,31793
55,WI,55,Area Plan Crops Only,121428
55,WI,61,Wind/Excess Wind,161040
55,WI,71,Insects,97587
55,WI,81,Plant Disease,987955
55,WI,82,Mycotoxin (Aflatoxin),521411
55,WI,93,Wildlife,198660
55,WI,95,House Burn (Pole Burn),27244
55,WI,97,Earthquake,2963
55,WI,99,Other (Snow-Lightning-Etc.),1024483
54,WV,1,Decline in Price,11087
54,WV,11,Drought,133401
54,WV,21,Hail,12986
54,WV,22,Excess Sun,376581
54,WV,31,Excess Moisture/Precip/Rain,318970
54,WV,41,Frost,12605
54,WV,42,Freeze,199639
54,WV,43,Cold Winter,288
54,WV,44,Cold Wet Weather,3318
54,WV,61,Wind/Excess Wind,27050
54,WV,93,Wildlife,46203
56,WY,1,Decline in Price,191391
56,WY,11,Drought,53390
56,WY,12,Heat,35287
56,WY,13,Failure Irrig Supply,7164
56,WY,21,Hail,3606177
56,WY,31,Excess Moisture/Precip/Rain,1219196
56,WY,41,Frost,79426
56,WY,42,Freeze,796930
56,WY,43,Cold Winter,306818
56,WY,44,Cold Wet Weather,262968
56,WY,51,Flood,6435
56,WY,55,Area Plan Crops Only,27776
56,WY,61,Wind/Excess Wind,76487
56,WY,62,Hot Wind,5372
56,WY,71,Insects,1507
56,WY,81,Plant Disease,17754
56,WY,93,Wildlife,7959
